l,Dl_Planck,Dl_H73_Tension,Dl_TRXT_Fixed
1706,182978154.3247711,183929758.5891329,182888369.41315627
1707,183281516.3773506,184098185.45193073,183200421.27569625
1708,183581801.9547932,184259351.09529996,183510300.39861256
1709,183879408.76443002,184413751.7031542,183816812.69845268
1710,184173351.93673933,184560500.92734686,184120374.85542995
1711,184464026.38686445,184700092.26151034,184420689.7420116
1712,184750787.8558514,184831980.0949474,184717557.98081827
1713,185033682.40464365,184956309.21960703,185010739.61375964
1714,185312755.37334552,185073223.80264804,185299987.91468197
1715,185587703.4134978,185182519.43232518,185585375.1498026
1716,185858569.09854755,185284337.7423724,185866667.85470203
1717,186124696.68642536,185378122.18878436,186143303.94026387
1718,186386124.6215252,185464010.56628406,186415307.30994022
1719,186643240.00519624,185542489.49357218,186682755.3918052
1720,186895030.78304815,185612646.6156493,186944839.58566338
1721,187142230.9043607,185675315.77849054,187202081.81230813
1722,187384173.47216132,185729930.19462138,187453516.0073169
1723,187620538.49186283,185776270.2074766,187699551.52151066
1724,187852058.0604736,185815168.49653825,187939831.55722195
1725,188077706.4573183,185845700.18417996,188173754.051941
1726,188297509.18350708,185867991.89143917,188401504.74147457
1727,188511843.4233998,185882522.2159507,188622967.90112337
1728,188720027.16533387,185888710.86929622,188837882.9999358
1729,188922081.21846497,185886680.71060336,189046037.99647796
1730,189118025.19314355,185876553.74380422,189247489.7752838
1731,189307523.03025335,185858096.66396514,189442156.14961478
1732,189490590.6594406,185831428.532601,189630085.16519007
1733,189666887.4871495,185796312.28287762,189810976.62330195
1734,189836425.69486633,185752864.03508928,189984746.88901785
1735,189998860.0918056,185700842.96663332,190151329.97058275
1736,190154912.0590965,185641075.27352503,190310956.31671527
1737,190303877.3083974,185572961.94637075,190463293.56707963
1738,190445761.60088366,185496614.5067302,190608266.26713192
1739,190580569.37674308,185412143.65399286,190745777.0576565
1740,190708303.7485146,185319659.2760923,190875665.23352423
1741,190828966.4955345,185219270.46131265,190998072.8438553
1742,190942199.08951735,185110726.5412067,191112963.23906258
1743,191047999.39442047,184994133.80776286,191220306.85785398
1744,191146004.13446137,184869237.99868613,191319908.38098142
1745,191236927.6573308,184736863.07782492,191411541.9052227
1746,191319683.16446212,184596032.48260093,191495498.72951746
1747,191394621.68481025,184447208.1148888,191571655.35620037
1748,191462094.54915893,184290852.83235848,191639837.53972518
1749,191521005.95379463,184125983.0291162,191700308.19631425
1750,191572427.42414442,183953783.11623725,191752642.32390916
1751,191615620.56971142,183773620.27511644,191797008.16789138
1752,191650931.26224428,183585914.52389887,191833611.4446872
1753,191678342.0712041,183390715.09646326,191861892.27772728
1754,191697470.29000884,183187706.48504242,191882086.50596362
1755,191708294.55510294,182976935.0754879,191894347.12978595
1756,191711156.92127723,182758811.2387071,191898302.93518353
1757,191705669.4101004,182533015.8951346,191894074.50637525
1758,191691806.63410097,182299593.1548787,191881692.58722454
1759,191669541.86667603,182058586.40352145,191861010.46663257
1760,191639213.4673604,181810404.74320614,191832067.39105305
1761,191600426.44145915,181554724.5680201,191794701.6359284
1762,191553150.04879525,181291587.18842468,191748961.0049299
1763,191497719.88531667,181021400.92848107,191694789.70397207
1764,191433735.69332653,180743838.95163676,191632781.6291422
1765,191361899.73351136,180459677.64825046,191562445.08325776
1766,191281809.48609287,180168589.35218453,191483889.63207665
1767,191193428.76330906,179870613.46867043,191397224.04771626
1768,191097089.79488972,179566158.5751168,191302556.31893155
1769,190992754.95559943,179255264.1639323,191199967.82334355
